label ID,root_path,filename,output_path
N1218,MU\DICOM_13\0000\003,,data\cores\N1218.nii.gz
N1220,MU\SOIL64_8_5_20,SOIL_FRIT_8_5_20Series_002_Bone 0.5 SCAN 1,data\cores\N1220.nii.gz
N1302,MU\SOIL_8_10_20_4,SOIL_8_10_20_4Series_003_Bone 0.5 SCAN 10,data\cores\N1302.nii.gz
N1304,MU\SOIL64_8_7_20,SOIL_FRIT_8_7_20Series_002_Bone 0.5 SCAN 1,data\cores\N1304.nii.gz
N1308,MU\DICOM_05\0000\002,,data\cores\N1308.nii.gz
N1310,MU\DICOM_06\0000\002,,data\cores\N1310.nii.gz
N1313,MU\DICOM_02\0000\001,,data\cores\N1313.nii.gz
N1314,MU\DICOM_02\0000\002,,data\cores\N1314.nii.gz
N1316,MU\SOIL64_8_5_20,SOIL_FRIT_8_5_20Series_004_Bone 0.5 SCAN 2,data\cores\N1316.nii.gz
N1319,MU\DICOM_13\0000\002,,data\cores\N1319.nii.gz
N1401,MU\DICOM_17\0000\002,,data\cores\N1401.nii.gz
N1403,MU\DICOM_14\0000\002,,data\cores\N1403.nii.gz
N1404,MU\SOIL64_2_8_7_20_1,SOIL_FRIT_8_7_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1404.nii.gz
N1405,MU\DICOM_16\0000\002,,data\cores\N1405.nii.gz
N1501,MU\SOIL64_2_8_7_20_1,SOIL_FRIT_8_7_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1501.nii.gz
N1505,MU\SOIL64_8_7_20,SOIL_FRIT_8_7_20Series_002_Bone 0.5 SCAN 1,data\cores\N1505.nii.gz
N1506,MU\DICOM_14\0000\003,,data\cores\N1506.nii.gz
N1511,MU\SOIL64_3_8_12_20_2,SOIL_FRIT_8_12_20_2Series_003_Bone 0.5 SCAN 5,data\cores\N1511.nii.gz
N1515,MU\DICOM_06\0000\003,,data\cores\N1515.nii.gz
N1517,MU\1.2.392.200036.9116.2.6.1.48.1215780058.1595283802.490100\1.2.392.200036.9116.2.6.1.48.1215780058.1595286344.274290,,data\cores\N1517.nii.gz
N1601,MU\SOIL64_8_19_20,SOIL_FRIT_8_19_20Series_004_Bone 0.5 SCAN 2,data\cores\N1601.nii.gz
N1602,MU\SOIL64_2_8_5_20_1,SOIL_FRIT_8_5_20_1Series_004_Bone 0.5 SCAN 4,data\cores\N1602.nii.gz
N1607,MU\SOIL64_8_7_20,SOIL_FRIT_8_7_20Series_004_Bone 0.5 SCAN 2,data\cores\N1607.nii.gz
N1610,MU\SOIL64_8_5_20,SOIL_FRIT_8_5_20Series_002_Bone 0.5 SCAN 1,data\cores\N1610.nii.gz
N1611,MU\SOIL64_8_5_20,SOIL_FRIT_8_5_20Series_004_Bone 0.5 SCAN 2,data\cores\N1611.nii.gz
N1615,MU\DICOM_01\0000\003,,data\cores\N1615.nii.gz
